Industry,PRIORITY,Business Name,Phone,Notes,Web Status,Claimed?,Tech Stack,Email,Socials,Address,Rating,Website
Plumbers,GOLD,Huitt Plumbing & Heating,+1 929-552-5691 ,No specific digital presence. ,NO WEBSITE,true,,,,"64-98 Myrtle Ave, Glendale, NY 11385, United States ",,
Plumbers,GOLD,John Bretone Plumbing & Heating Inc,+1 718-726-4656 ,No specific digital presence. ,NO WEBSITE,true,,,,"42-01 31st Ave, Astoria, NY 11103, United States ",,
Plumbers,GOLD,Michaels Plumbing Professionals,+1 917-756-9796 ,No specific digital presence. ,NO WEBSITE,true,,,,"179-02 69th Ave, Fresh Meadows, NY 11365, United States ",,
Plumbers,GOLD,Owl Plumbing & Heating,+1 718-805-3456 ,No specific digital presence. ,NO WEBSITE,true,,,,"112-13 101st Ave, South Richmond Hill, NY 11419, United States ",,
Plumbers,GOLD,Owl Plumbing & Heating,+1 718-805-3456 ,No specific digital presence. ,NO WEBSITE,true,,,,"112-13 101st Ave, South Richmond Hill, NY 11419, United States ",,
Plumbers,GOLD,Dundee Plumbing & Heating,+1 718-969-7406 ,No specific digital presence. ,NO WEBSITE,true,,,,"80-18 Surrey Pl, Jamaica, NY 11432, United States ",,
Plumbers,GOLD,Pal Mar Plumbing & Heating Inc,+1 718-366-9480 ,No specific digital presence. ,NO WEBSITE,true,,,,"69-34 Cooper Ave, Flushing, NY 11385, United States ",,
Auto Repair,GOLD,JCA Mechanical,+1 917-658-0731 ,No specific digital presence. ,NO WEBSITE,true,,,,,,
Plumbers,GOLD,Comfort Plumbing & Heating,+1 929-326-4200 ,No specific digital presence. ,NO WEBSITE,true,,,,"61-48 Madison St apt C1, Flushing, NY 11385, United States ",,
Plumbers,GOLD,KOHLER Store Brooklyn by Best Plumbing Supply,(929) 884-6554 ,No specific digital presence. ,NO WEBSITE,true,,,,"241 37th Street Suite #B116, Brooklyn, NY 11232 ",,
Plumbers,GOLD,Main Plumbing Staten Island,+1 347-929-4453 ,No specific digital presence. ,NO WEBSITE,true,,,,"4434 Amboy Rd #200, Staten Island, NY 10312, United States ",,
Plumbers,GOLD,All Day Plumbing and Flood Service,+1 347-518-8862 ,No specific digital presence. ,NO WEBSITE,true,,,,"38 Victory Blvd, Staten Island, NY 10301, United States ",,
Plumbers,GOLD,Staten Island Plumber,+1 718-682-7922 ,No specific digital presence. ,NO WEBSITE,true,,,,"100 Stuyvesant Pl, Staten Island, NY 10301, United States ",,
Plumbers,GOLD,NYC 24/7 Plumbing Pros,+1 332-233-7070 ,No specific digital presence. ,NO WEBSITE,true,,,,"116-118 E 55th St, New York, NY 10022, United States ",,
Plumbers,GOLD,LZ Manhattan Plumbing New York,+1 315-526-8735 ,No specific digital presence. ,NO WEBSITE,true,,,,"3060 NY-2200 Frederick Douglass Blvd, New York, NY 10026, United States ",,
Plumbers,GOLD,NYC Quality Plumbing,+1 332-222-0135 ,No specific digital presence. ,NO WEBSITE,true,,,,"885 6th Ave, New York, NY 10001, United States ",,
Plumbers,GOLD,"Empire NYC Plumbers, Drain & Sewer Cleaning",+1 646-349-6213 ,No specific digital presence. ,NO WEBSITE,true,,,,"537 W 150th St, New York, NY 10031, United States ",,
Plumbers,GOLD,Nexus New York Plumber & Drain,+1 332-241-7066 ,No specific digital presence. ,NO WEBSITE,true,,,,"268 Bowery FLOOR 3, New York, NY 10012, United States ",,
Plumbers,GOLD,NYC HVAC & Plumbing Services,,No specific digital presence. ,NO WEBSITE,true,,,,"430 Lafayette St, New York, NY 10003, United States ",,
Plumbers,GOLD,Mike's Plumbing,+1 785-537-2958 ,No specific digital presence. ,NO WEBSITE,true,,,,"2808 Virginia Dr, Manhattan, KS 66502, United States ",,
Plumbers,GOLD,"Express Sewer, Drain Cleaning & Repairs Inc .",+1 718-213-2865 ,No specific digital presence. ,NO WEBSITE,true,,,,"810 Mace Ave, Bronx, NY 10467, United States ",,
Plumbers,GOLD,All Plumbing Solutions LLC,+1 917-374-7826 ,No specific digital presence. ,NO WEBSITE,true,,,,"1663 Williamsbridge Rd, Bronx, NY 10461, United States ",,
Plumbers,GOLD,ASAP Plumber Bronx & Drain Cleaning,+1 914-515-2952 ,No specific digital presence. ,NO WEBSITE,true,,,,"870 Morris Park Ave, Bronx, NY 10462, United States ",,
Plumbers,GOLD,NYC Plumber Bronx & Drain Cleaning,+1 914-515-2493 ,No specific digital presence. ,NO WEBSITE,true,,,,"807 Allerton Ave, Bronx, NY 10467, United States ",,
Plumbers,GOLD,Bronx Plumbing & Drain,+1 315-201-8365 ,No specific digital presence. ,NO WEBSITE,true,,,,"585 W 235th St, Bronx, NY 10463, United States ",,
Plumbers,GOLD,BMT plumbing & heating llc,+1 718-822-1057 ,No specific digital presence. ,NO WEBSITE,true,,,,"1408 Seabury Ave, Bronx, NY 10461, United States ",,
Plumbers,GOLD,B & A Plumbing & Heating,+1 718-365-1625 ,No specific digital presence. ,NO WEBSITE,true,,,,"4452 Park Ave, Bronx, NY 10457, United States ",,
Plumbers,GOLD,Aspect Plumbing & Heating CO. LLC,+1 718-734-2909 ,No specific digital presence. ,NO WEBSITE,true,,,,"752 E 137th St Suite 21, Bronx, NY 10454, United States ",,
Plumbers,GOLD,F&S PLUMBING,+1 929-412-4018 ,No specific digital presence. ,NO WEBSITE,true,,,,"926 Neill Ave, Bronx, NY 10462, United States ",,
Plumbers,GOLD,Edgecombe Plumbing & Heating,+1 718-828-0900 ,No specific digital presence. ,NO WEBSITE,true,,,,"2273 Westchester Ave, Bronx, NY 10462, United States ",,
Plumbers,GOLD,Bronx Plumbing Co.,+1 914-429-4521 ,No specific digital presence. ,NO WEBSITE,true,,,,"1 E Tremont Ave #124, Bronx, NY 10453, United States ",,
Construction,GOLD,Power House Electrical Contractors Inc,+1 917-715-9550,No specific digital presence. ,NO WEBSITE,true,,,,"224 Great Kills Rd, Staten Island, NY 10308, United States",,
Electricians,GOLD,Laredo Electric,+1 718-227-6607,No specific digital presence. ,NO WEBSITE,true,,,,"2477 Arthur Kill Rd, Staten Island, NY 10309, United States",,
Electricians,GOLD,"Hi Voltage Electric, Inc",+1 917-439-7985,No specific digital presence. ,NO WEBSITE,true,,,,"1720 Richmond Ave, Staten Island, NY 10314, United States",,
Electricians,GOLD,Prime electric services INC,+1 917-204-3668,No specific digital presence. ,NO WEBSITE,true,,,,"32 Hancock St, Staten Island, NY 10305, United States",,
Electricians,GOLD,Roger De Electric,+1 718-273-5577,No specific digital presence. ,NO WEBSITE,true,,,,"2844 Richmond Ter, Staten Island, NY 10303, United States",,
Service Pro,GOLD,Stanco Systems,,No specific digital presence. ,NO WEBSITE,true,,,,"4061 Victory Blvd, Staten Island, NY 10314, United States",,
Electricians,GOLD,Eco Electrical Services LLC,+1 347-763-9968,No specific digital presence. ,NO WEBSITE,true,,,,"134 Lockman Ave, Staten Island, NY 10303, United States",,
Electricians,GOLD,Jason Salome Electric Contracting,+1 718-989-4716,No specific digital presence. ,NO WEBSITE,true,,,,"600 Richmond Rd, Staten Island, NY 10304, United States",,
Electricians,GOLD,Laser Lite Electrical Inc,+1 718-356-8900,No specific digital presence. ,NO WEBSITE,true,,,,"40 Gaton St, Staten Island, NY 10309, United States",,
Electricians,GOLD,Manhattan Electrical Supply,+1 718-448-2310,No specific digital presence. ,NO WEBSITE,true,,,,"1002 Castleton Ave, Staten Island, NY 10310, United States",,
Electricians,GOLD,Nardini Brothers Elec Supply Co,+1 201-437-4700,No specific digital presence. ,NO WEBSITE,true,,,,"84 W 7th St, Bayonne, NJ 07002, United States",,
Electricians,GOLD,P & T Electricians Midtown,+1 646-374-4274,No specific digital presence. ,NO WEBSITE,true,,,,"450 W 63rd St, New York, NY 10069, United States",,
Electricians,GOLD,Best Electric Manhattan,+1 332-529-4917,No specific digital presence. ,NO WEBSITE,true,,,,"69 W 85th St, New York, NY 10024, United States",,
Electricians,GOLD,Hitchingham Electric Company,+1 540-729-4548,No specific digital presence. ,NO WEBSITE,true,,,,"512 E 11th St, New York, NY 10009, United States",,
Electricians,GOLD,V and V Electric,,No specific digital presence. ,NO WEBSITE,true,,,,"629 Pecan Cir, Manhattan, KS 66502, United States",,
Electricians,GOLD,H&L Electric,+1 785-539-3275,No specific digital presence. ,NO WEBSITE,true,,,,"8845 Quail Ln #4, Manhattan, KS 66502, United States",,
Electricians,GOLD,Affordable Electric,+1 785-537-2771,No specific digital presence. ,NO WEBSITE,true,,,,"9125 Green Valley Dr, Manhattan, KS 66502, United States",,
Electricians,GOLD,"Bolton Electric, Inc.",+1 785-537-7501,No specific digital presence. ,NO WEBSITE,true,,,,"2915 Wayne Dr, Manhattan, KS 66502, United States",,
Electricians,GOLD,Von Elling Electric Inc,+1 785-537-7680,No specific digital presence. ,NO WEBSITE,true,,,,"528 Riley Ln, Manhattan, KS 66502, United States",,
Electricians,GOLD,Murphy Electric,+1 785-539-4866,No specific digital presence. ,NO WEBSITE,true,,,,"2315 Skyvue Ln, Manhattan, KS 66502, United States",,
Electricians,GOLD,CA Fleming Electric,+1 973-296-5508,No specific digital presence. ,NO WEBSITE,true,,,,,,
Electricians,GOLD,AA Gifford Electric,+1 785-313-5103,No specific digital presence. ,NO WEBSITE,true,,,,,,
Construction,GOLD,Navarro electrical contractors,+1 917-673-5799,No specific digital presence. ,NO WEBSITE,true,,,,"office only, 2959 Schley Ave, Bronx, NY 10465, United States",,
Electricians,GOLD,E&E Electric Solutions Corp.,+1 917-817-5228,No specific digital presence. ,NO WEBSITE,true,,,,,,
Electricians,GOLD,Gemini Electric,+1 718-654-6700,No specific digital presence. ,NO WEBSITE,true,,,,"2460 Williamsbridge Rd 2nd floor, Bronx, NY 10469, United States",,
Electricians,GOLD,Lerco Electric LLC,+1 866-380-4042,No specific digital presence. ,NO WEBSITE,true,,,,"370 E 146th St, Bronx, NY 10455, United States",,
Electricians,GOLD,F & F Electrical Corporation,+1 718-561-8175,No specific digital presence. ,NO WEBSITE,true,,,,"1320 Beach Ave, Bronx, NY 10472, United States",,
Electricians,GOLD,Renaissance Electric Corporation,+1 646-659-1547,No specific digital presence. ,NO WEBSITE,true,,,,"2359 Westchester Ave, Bronx, NY 10461, United States",,
Electricians,GOLD,NieElectrical,,No specific digital presence. ,NO WEBSITE,true,,,,"394 Balcom Ave, Bronx, NY 10465, United States",,
Electricians,GOLD,AMP ELECTRIC,+1 917-335-1733,No specific digital presence. ,NO WEBSITE,true,,,,"1141 E 156th St, Bronx, NY 10474, United States",,
Electricians,GOLD,Dudley & Associates Electrical,+1 347-305-6097,No specific digital presence. ,NO WEBSITE,true,,,,"6 E Clarke Pl, Bronx, NY 10452, United States",,
Electricians,GOLD,Bronx City Electric,+1 718-620-6900,No specific digital presence. ,NO WEBSITE,true,,,,"1962 Crotona Pkwy, Bronx, NY 10460, United States",,
Electricians,GOLD,Marcel Electrical Contracting Corporation,+1 347-305-6099,No specific digital presence. ,NO WEBSITE,true,,,,"1406 Blondell Ave, Bronx, NY 10461, United States",,
Electricians,GOLD,Luna NYC Electric,+1 646-670-8657,No specific digital presence. ,NO WEBSITE,true,,,,"2365 Hollers Ave, Bronx, NY 10475, United States",,
Electricians,GOLD,Powerone Electrical Contracting Inc.,+1 718-241-1900,No specific digital presence. ,NO WEBSITE,true,,,,"1459 Bassett Ave, Bronx, NY 10461, United States",,
Electricians,GOLD,Bronx Electric Works,+1 631-949-9613,No specific digital presence. ,NO WEBSITE,true,,,,"3261 Decatur Ave, Bronx, NY 10467, United States",,
Electricians,GOLD,Singer Electric Co,+1 718-548-1377,No specific digital presence. ,NO WEBSITE,true,,,,"169 W 231st St, Bronx, NY 10463, United States",,
Electricians,GOLD,Fused Electric Contracting Corp,+1 718-938-3518,No specific digital presence. ,NO WEBSITE,true,,,,"3525 Rombouts Ave, Bronx, NY 10475, United States",,
Electricians,GOLD,A Tech Electric,+1 718-937-7044,No specific digital presence. ,NO WEBSITE,true,,,,"1735 W Farms Rd #2nd, Bronx, NY 10460, United States",,
Construction,GOLD,CHL ELECTRICAL CONTRACTORS INC.,+1 646-379-9329,No specific digital presence. ,NO WEBSITE,true,,,,"2000 White Plains Rd, Bronx, NY 10462, United States",,
Electricians,GOLD,Norwood Electric,+1 718-304-0800,No specific digital presence. ,NO WEBSITE,true,,,,"756 Allerton Ave, Bronx, NY 10467, United States",,
Electricians,GOLD,Harley Electric Co Inc,+1 718-823-8885,No specific digital presence. ,NO WEBSITE,true,,,,"1817 Unionport Rd, Bronx, NY 10462, United States",,
Electricians,GOLD,Jewell Electric,+1 315-332-9422,No specific digital presence. ,NO WEBSITE,true,,,,"1485 Fulton Ave, Bronx, NY 10456, United States",,
Electricians,GOLD,O K Electrical Services Corporation,+1 718-652-1212,No specific digital presence. ,NO WEBSITE,true,,,,"727 Burke Ave, Bronx, NY 10467, United States",,
Plumbers,GOLD,Father & Son Affordable Sewer Service Inc.,+1 646-208-8959,No specific digital presence. ,NO WEBSITE,true,,,,"268 New Dorp Ln, Staten Island, NY 10306, United States",4.7,
Auto Repair,GOLD,ALPHA MECHANICAL GROUP INC,+1 646-598-6460,No specific digital presence. ,NO WEBSITE,true,,,,"44 Windham Loop, Staten Island, NY 10314, United States",4.7,
Plumbers,GOLD,Blue Max Plumbing Inc,+1 785-776-0922,No specific digital presence. ,NO WEBSITE,true,,,,"100 Brookstone Cir, Manhattan, KS 66502, United States",4.4,
Auto Repair,GOLD,NYC MECHANICAL CORP,+1 914-433-8208,No specific digital presence. ,NO WEBSITE,true,,,,"1950 Cruger Ave, Bronx, NY 10462, United States",4.9,
Plumbers,GOLD,G & S Plumbing & Heating Corporation,+1 718-892-6200,No specific digital presence. ,NO WEBSITE,true,,,,"678 Morris Park Ave, Bronx, NY 10462, United States",4.9,
Plumbers,GOLD,Hudson Plumbing & Heating Co,+1 718-655-7864,No specific digital presence. ,NO WEBSITE,true,,,,"2534 Boston Rd, Bronx, NY 10467, United States",4.9,
Plumbers,GOLD,Vitello Sewer Water Main Heating,+1 718-881-2473,No specific digital presence. ,NO WEBSITE,true,,,,"741 E 215th St, Bronx, NY 10467, United States",4.9,
Service Pro,GOLD,,,No specific digital presence. ,NO WEBSITE,true,,,,,4.7,
Nail Salons,GOLD,SNS Nails & Spa,+1 718-524-8554,No specific digital presence. ,NO WEBSITE,true,,,,"1602 Richmond Rd, Staten Island, NY 10304, United States",4.7,
Nail Salons,GOLD,La Belle nail spa,+1 718-887-8183,No specific digital presence. ,NO WEBSITE,true,,,,"290 New Dorp Ln, Staten Island, NY 10306, United States",4.7,
Nail Salons,GOLD,Holly Nail & Spa,+1 347-857-6858,No specific digital presence. ,NO WEBSITE,true,,,,"1351 Forest Ave #4, Staten Island, NY 10302, United States",4.7,
Nail Salons,GOLD,NAILS & SPA.,+1 917-818-5013,No specific digital presence. ,NO WEBSITE,true,,,,"3944 Richmond Ave, Staten Island, NY 10312, United States",4.7,
Nail Salons,GOLD,Nail and Spa Story,+1 718-442-7675,No specific digital presence. ,NO WEBSITE,true,,,,"1286 Clove Rd, Staten Island, NY 10301, United States",4.7,
Nail Salons,GOLD,Huguenot Nails,+1 718-948-4189,No specific digital presence. ,NO WEBSITE,true,,,,"895 Huguenot Ave, Staten Island, NY 10312, United States",4.7,
Nail Salons,GOLD,Time Nails & Spa,+1 718-698-6888,No specific digital presence. ,NO WEBSITE,true,,,,"77 Richmond Hill Rd, Staten Island, NY 10314, United States",4.7,
Nail Salons,GOLD,Shiny Nails,+1 718-966-2440,No specific digital presence. ,NO WEBSITE,true,,,,"240 Page Ave # 111, Staten Island, NY 10307, United States",4.7,
Nail Salons,GOLD,Tatyana beauty spa,+1 347-838-6603,No specific digital presence. ,NO WEBSITE,true,,,,"4203 Hylan Blvd, Staten Island, NY 10308, United States",4.7,
Nail Salons,GOLD,Victory R Nail Spa,+1 718-815-8818,No specific digital presence. ,NO WEBSITE,true,,,,"1757 Victory Blvd, Staten Island, NY 10314, United States",4.7,
Salons,GOLD,Beyond Nail Salon,+1 347-983-4386,No specific digital presence. ,NO WEBSITE,true,,,,"15 Brower Ct, Staten Island, NY 10308, United States",4.7,
Nail Salons,GOLD,Dear Queen Nails Studio,+1 347-838-6551,No specific digital presence. ,NO WEBSITE,true,,,,"1281 Arthur Kill Rd, Staten Island, NY 10312, United States",4.7,
Nail Salons,GOLD,Garden Nails,+1 718-983-5523,No specific digital presence. ,NO WEBSITE,true,,,,"2795 Richmond Ave, Staten Island, NY 10314, United States",4.7,
Service Pro,GOLD,,,No specific digital presence. ,NO WEBSITE,true,,,,,4.3,
Salons,GOLD,"Nails & Spa Salon Midtown, NYC",+1 646-472-7908,No specific digital presence. ,NO WEBSITE,true,,,,"44 W 55th St, New York, NY 10019, United States",4.3,
Nail Salons,GOLD,Eva's Nails & Spa,+1 212-588-9666,No specific digital presence. ,NO WEBSITE,true,,,,"883 1st Ave #3, New York, NY 10022, United States",4.3,
Nail Salons,GOLD,Wistaria Nail Spa II,+1 646-609-6000,No specific digital presence. ,NO WEBSITE,true,,,,"344 W 57th St, New York, NY 10019, United States",4.3,
Nail Salons,GOLD,Flaire Nails,+1 212-319-6828,No specific digital presence. ,NO WEBSITE,true,,,,"304 E 62nd St #4, New York, NY 10065, United States",4.3,
Nail Salons,GOLD,Unimited Nail & Spa,+1 917-388-2098,No specific digital presence. ,NO WEBSITE,true,,,,"881 10th Ave, New York, NY 10019, United States",4.3,
Service Pro,GOLD,,,No specific digital presence. ,NO WEBSITE,true,,,,,4.6,
Nail Salons,GOLD,Concourse Nail Bar,+1 917-507-7004,No specific digital presence. ,NO WEBSITE,true,,,,"200 E 161st St, Bronx, NY 10451, United States",4.6,
Nail Salons,GOLD,C C Pretty Nails,+1 718-299-8821,No specific digital presence. ,NO WEBSITE,true,,,,"670 E Tremont Ave, Bronx, NY 10457, United States",4.6,
Nail Salons,GOLD,Wendy's Silhouette Nails lounge,+1 347-862-0149,No specific digital presence. ,NO WEBSITE,true,,,,"1840 Grand Concourse, Bronx, NY 10457, United States",4.6,
Salons,GOLD,Passion Nail salon & Spa inc Bronx,+1 929-247-6362,No specific digital presence. ,NO WEBSITE,true,,,,"1029 E 167th St, Bronx, NY 10459, United States",4.6,
Nail Salons,GOLD,Vanna Nails & Spa,+1 718-822-9878,No specific digital presence. ,NO WEBSITE,true,,,,"2151 Westchester Ave, Bronx, NY 10462, United States",4.6,
Nail Salons,GOLD,Golden Beauty Spa,+1 718-513-1750,No specific digital presence. ,NO WEBSITE,true,,,,"1960 Eastchester Rd, Bronx, NY 10461, United States",4.6,
Salons,GOLD,Wow! Nail Salon & Spa Corp.,+1 347-431-4154,No specific digital presence. ,NO WEBSITE,true,,,,"724 E Tremont Ave, Bronx, NY 10457, United States",4.6,
Salons,GOLD,Duran Nails & Spa Salon,+1 646-574-1060,No specific digital presence. ,NO WEBSITE,true,,,,"1808A Lurting Ave, Bronx, NY 10461, United States",4.6,
Salons,GOLD,Hidden Beauty Salon,+1 347-281-5640,No specific digital presence. ,NO WEBSITE,true,,,,"1420 Williamsbridge Rd, Bronx, NY 10461, United States",4.6,
Nail Salons,GOLD,Dream Nails,+1 347-297-3813,No specific digital presence. ,NO WEBSITE,true,,,,"985 Westchester Ave, Bronx, NY 10459, United States",4.6,
Nail Salons,GOLD,Crosby Nails,+1 718-828-4247,No specific digital presence. ,NO WEBSITE,true,,,,"1376 Crosby Ave, Bronx, NY 10461, United States",4.6,
Nail Salons,GOLD,Little Amber Nail & Spa,+1 718-308-9166,No specific digital presence. ,NO WEBSITE,true,,,,"289 E 149th St, Bronx, NY 10451, United States",4.6,
Salons,GOLD,FASHION NAILS SPA & HAIR SALON,+1 917-792-2732,No specific digital presence. ,NO WEBSITE,true,,,,"635 E 169th St, Bronx, NY 10456, United States",4.6,
Nail Salons,GOLD,Alice Nails,+1 718-822-1809,No specific digital presence. ,NO WEBSITE,true,,,,"1934 Williamsbridge Rd, Bronx, NY 10461, United States",4.6,
Nail Salons,GOLD,Blue Nails Lounge,+1 347-275-6781,No specific digital presence. ,NO WEBSITE,true,,,,"257 W Kingsbridge Rd, Bronx, NY 10463, United States",4.6,
Nail Salons,GOLD,Luna Nail Lounge,+1 718-484-2396,No specific digital presence. ,NO WEBSITE,true,,,,"1167 Fulton St, Brooklyn, NY 11216, United States",4.8,
Nail Salons,GOLD,Sally Beauty Nail Spa INC,+1 718-864-4989,No specific digital presence. ,NO WEBSITE,true,,,,"8507 3rd Ave, Brooklyn, NY 11209, United States",4.8,
Salons,GOLD,Eva Nail Salon,+1 347-529-4362,No specific digital presence. ,NO WEBSITE,true,,,,"145 7th Ave, Brooklyn, NY 11215, United States",4.8,
Nail Salons,GOLD,Darling Nails & Spa,+1 929-389-8988,No specific digital presence. ,NO WEBSITE,true,,,,"269 Schenectady Ave, Brooklyn, NY 11213, United States",4.8,
Nail Salons,GOLD,Nail & Spa By Patty,+1 347-529-6685,No specific digital presence. ,NO WEBSITE,true,,,,"220 Leonard St, Brooklyn, NY 11211, United States",4.8,
Nail Salons,GOLD,Noya Beauty Nails & Spa Inc.,+1 646-996-1483,No specific digital presence. ,NO WEBSITE,true,,,,"296 Kings Hwy, Brooklyn, NY 11223, United States",4.8,
Nail Salons,GOLD,Glorious Nail Art,+1 718-998-8666,No specific digital presence. ,NO WEBSITE,true,,,,"7302 13th Ave, Brooklyn, NY 11228, United States",4.8,
Nail Salons,GOLD,The Nail Deity,+1 347-481-5056,No specific digital presence. ,NO WEBSITE,true,,,,"5321 Clarendon Rd, Brooklyn, NY 11203, United States",4.8,
Nail Salons,GOLD,Agua De La Vida SPA,+1 718-302-4664,No specific digital presence. ,NO WEBSITE,true,,,,"579 Lorimer St, Brooklyn, NY 11211, United States",4.8,
Nail Salons,GOLD,A+ Nail Spa,+1 929-639-3457,No specific digital presence. ,NO WEBSITE,true,,,,"120-03 Liberty Ave, South Richmond Hill, NY 11419, United States",4.8,
Nail Salons,GOLD,A&B Nail Bar INC.,+1 347-730-4028,No specific digital presence. ,NO WEBSITE,true,,,,"44-01 48th Ave, Woodside, NY 11377, United States",4.8,
Nail Salons,GOLD,Fancy Nail & Beauty Inc.,+1 718-268-6988,No specific digital presence. ,NO WEBSITE,true,,,,"116-18 Queens Blvd, Forest Hills, NY 11375, United States",4.8,
Salons,GOLD,Best Friends Nail Salon,+1 347-242-3454,No specific digital presence. ,NO WEBSITE,true,,,,"57-04 71st St, Maspeth, NY 11378, United States",4.8,
Nail Salons,GOLD,Bess Nails and Spa,+1 718-830-9889,No specific digital presence. ,NO WEBSITE,true,,,,"102-30 Queens Blvd, Forest Hills, NY 11375, United States",4.8,
Nail Salons,GOLD,Rouge Nails & Spa,+1 718-897-9777,No specific digital presence. ,NO WEBSITE,true,,,,"96-35 Queens Blvd, Rego Park, NY 11374, United States",4.8,
Nail Salons,GOLD,QQ Nail Spa,+1 718-830-0011,No specific digital presence. ,NO WEBSITE,true,,,,"63-51 Wetherole St, Rego Park, NY 11374, United States",4.8,
Salons,GOLD,88 Spring Nail Salon,+1 718-205-8168,No specific digital presence. ,NO WEBSITE,true,,,,"62-75 Woodhaven Blvd, Rego Park, NY 11374, United States",4.8,
Nail Salons,GOLD,NEW BELLA NAIL & SPA,+1 718-400-1004,No specific digital presence. ,NO WEBSITE,true,,,,"104-04 Metropolitan Ave, Forest Hills, NY 11375, United States",4.8,
Nail Salons,GOLD,L & K Nail Spa,+1 718-205-5503,No specific digital presence. ,NO WEBSITE,true,,,,"85-47 Grand Ave, Elmhurst, NY 11373, United States",4.8,
Nail Salons,GOLD,Bubblicious Nails & Spa,+1 718-971-4911,No specific digital presence. ,NO WEBSITE,true,,,,"2351 Hylan Blvd, Staten Island, NY 10306, United States",4.7,
Nail Salons,GOLD,Riviera Nail & Spa,+1 718-668-1060,No specific digital presence. ,NO WEBSITE,true,,,,"3295 Amboy Rd #6, Staten Island, NY 10306, United States",4.7,
Nail Salons,GOLD,Sugar nails,+1 718-608-8998,No specific digital presence. ,NO WEBSITE,true,,,,"1757 Arthur Kill Rd, Staten Island, NY 10312, United States",4.7,
Nail Salons,GOLD,NEW MANICURIOUS,+1 917-668-1010,No specific digital presence. ,NO WEBSITE,true,,,,"4131 Hylan Blvd, Staten Island, NY 10308, United States",4.7,
Nail Salons,GOLD,Nail Station & Spa,+1 718-554-4532,No specific digital presence. ,NO WEBSITE,true,,,,"1002 Rossville Ave, Staten Island, NY 10309, United States",4.7,
Nail Salons,GOLD,Glossee Nail & Spa,+1 718-815-8808,No specific digital presence. ,NO WEBSITE,true,,,,"1757 Victory Blvd, Staten Island, NY 10314, United States",4.7,
Nail Salons,GOLD,Glamour Nails,+1 718-698-1199,No specific digital presence. ,NO WEBSITE,true,,,,"1949 Richmond Ave, Staten Island, NY 10314, United States",4.7,
